Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2016-17,23,OKC,NBA,C,80,2389,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,,3.3,3.1,6.5,.130,,-0.2,0.0,-0.2,1.1
2017-18,24,OKC,NBA,C,76,2487,20.6,.630,.003,.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3.0,9.7,.187,,1.7,-0.6,1.1,2.0
2018-19,25,OKC,NBA,C,80,2669,18.5,.591,.002,.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,,5.1,4.0,9.1,.163,,0.7,0.4,1.1,2.1
2019-20,26,OKC,NBA,C,63,1680,20.5,.604,.006,.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,.185,,1.9,1.1,2.9,2.1
2020-21,27,NOP,NBA,C,58,1605,15.1,.596,.010,.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4.0,.119,,-0.4,0.1,-0.3,0.7
2021-22,28,MEM,NBA,C,76,1999,17.6,.560,.003,.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,,3.8,3.0,6.8,.163,,1.0,1.0,2.0,2.0
2022-23,29,MEM,NBA,C,23,617,16.3,.563,.008,.474,19.1,22.7,20.9,11.2,1.4,3.6,23.4,13.9,,0.5,0.9,1.4,.111,,-0.9,0.3,-0.6,0.2
2017-18,20,MIA,NBA,C,69,1368,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,.148,,-1.1,0.7,-0.4,0.6
2018-19,21,MIA,NBA,C,82,1913,17.9,.623,.031,.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,,3.4,3.4,6.8,.171,,-0.4,2.2,1.8,1.8
2019-20,22,MIA,NBA,PF,72,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3
2020-21,23,MIA,NBA,C,64,2143,22.7,.626,.010,.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,,5.6,3.2,8.8,.197,,2.9,2.0,4.9,3.7
2021-22,24,MIA,NBA,C,56,1825,21.8,.608,.008,.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,,3.6,3.5,7.2,.188,,1.7,2.1,3.8,2.7
2022-23,25,MIA,NBA,C,23,807,18.8,.588,.026,.353,7.2,23.4,15.1,16.4,1.3,2.3,15.1,26.1,,0.8,1.1,1.9,.113,,-0.4,0.6,0.2,0.4
2018-19,21,CLE,NBA,SF,19,194,2.7,.424,.639,.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,,-0.2,0.0,-0.2,-0.054,,-5.9,-1.6,-7.5,-0.3
2010-11,24,GSW,NBA,PF,23,196,11.3,.457,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,,0.1,0.1,0.2,.051,,-3.3,-2.0,-5.3,-0.2
2011-12,25,HOU,NBA,PF,8,63,11.2,.493,.000,.750,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,,0.1,0.1,0.1,.106,,-4.0,-0.2,-4.3,0.0
2012-13,26,CHA,NBA,PF,52,713,13.4,.493,.012,.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,,0.5,0.4,1.0,.064,,-2.1,-0.9,-3.0,-0.2
2013-14,27,TOT,NBA,PF,53,961,17.4,.553,.000,.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,,1.6,1.1,2.7,.134,,0.0,-0.9,-0.9,0.3
2013-14,27,CHA,NBA,PF,25,256,14.9,.559,.000,.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,,0.4,0.5,0.9,.170,,-1.8,1.7,0.0,0.1
2013-14,27,MIL,NBA,PF,28,705,18.4,.552,.000,.400,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,,1.2,0.6,1.8,.121,,0.6,-1.8,-1.2,0.1
2014-15,28,MIN,NBA,PF,17,215,14.2,.494,.000,.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,,0.2,0.2,0.4,.087,,-1.9,-0.6,-2.4,0.0
2007-08,22,DET,NBA,SG,75,970,10.2,.494,.199,.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,,0.5,1.4,1.9,.092,,-2.6,1.0,-1.5,0.1
2008-09,23,DET,NBA,SG,74,1234,8.9,.548,.357,.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,,0.8,1.0,1.8,.069,,-2.8,0.2,-2.6,-0.2
2009-10,24,DEN,NBA,SG,82,2221,10.9,.576,.426,.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,,2.8,1.4,4.3,.092,,-0.2,-0.2,-0.4,0.9
2010-11,25,DEN,NBA,SG,69,2324,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,,4.8,1.4,6.2,.128,,1.7,-0.3,1.4,2.0
2011-12,26,DEN,NBA,SG,62,2086,14.7,.584,.316,.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,,4.7,0.6,5.3,.121,,1.4,-1.2,0.1,1.1
2012-13,27,ORL,NBA,SF,64,2307,13.0,.527,.265,.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,,1.5,0.5,2.0,.042,,-1.1,-1.8,-2.9,-0.5
2013-14,28,ORL,NBA,SG,73,2552,16.0,.574,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,,4.3,1.0,5.3,.099,,1.4,-1.6,-0.2,1.1
2014-15,29,TOT,NBA,SG,78,2502,10.7,.533,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,,1.6,1.0,2.6,.050,,-1.4,-1.1,-2.5,-0.3
2014-15,29,DEN,NBA,SG,53,1750,11.7,.533,.370,.230,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,,1.4,0.4,1.8,.050,,-0.7,-1.2,-1.9,0.1
2014-15,29,POR,NBA,SG,25,752,8.2,.533,.396,.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,,0.2,0.5,0.8,.049,,-3.0,-0.8,-3.8,-0.4
