,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
226,2002-03,27,TOT,NBA,SG,76,2880,21.3,0.565,0.391,0.253,3.8,11.8,7.8,21.6,1.9,0.4,11.6,27.8,7.6,1.5,9.1,0.152,4.7,-1.0,3.6,4.1
227,2002-03,27,MIL,NBA,SG,47,1683,19.9,0.564,0.387,0.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,3.8,0.5,4.3,0.123,3.4,-1.9,1.6,1.5
229,2003-04,28,SEA,NBA,SG,56,2152,21.7,0.566,0.372,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,6.5,0.4,6.9,0.153,5.5,-1.5,4.0,3.2
230,2004-05,29,SEA,NBA,SG,78,3064,20.9,0.555,0.372,0.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28.0,9.7,1.0,10.7,0.168,5.3,-1.2,4.1,4.8
231,2005-06,30,SEA,NBA,SG,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.4,-2.0,4.4,4.9
232,2006-07,31,SEA,NBA,SG,55,2219,21.6,0.564,0.384,0.268,3.1,10.4,6.7,19.0,1.9,0.4,10.7,29.5,5.4,0.9,6.3,0.136,5.0,-1.3,3.7,3.2
233,2007-08,32,BOS,NBA,SG,73,2624,16.4,0.584,0.458,0.24,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,5.6,4.1,9.7,0.177,2.9,0.2,3.0,3.3
234,2008-09,33,BOS,NBA,SG,79,2876,17.3,0.624,0.467,0.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,7.4,3.7,11.1,0.186,3.7,0.3,4.0,4.3
235,2009-10,34,BOS,NBA,SG,80,2819,15.2,0.601,0.41,0.26,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,5.1,2.9,7.9,0.135,1.5,-0.3,1.2,2.3
236,2010-11,35,BOS,NBA,SG,80,2890,16.4,0.615,0.387,0.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,0.166,2.3,0.6,2.9,3.6
237,2011-12,36,BOS,NBA,SG,46,1565,14.8,0.607,0.475,0.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,0.145,1.5,0.7,2.2,1.6
238,2012-13,37,MIA,NBA,SG,79,2035,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,0.126,1.1,-0.8,0.3,1.2
239,2013-14,38,MIA,NBA,SG,73,1936,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,2.5,1.5,4.1,0.101,0.5,-0.9,-0.4,0.8
240,2004-05,23,BOS,NBA,SG,77,1262,14.7,0.542,0.08,0.393,8.0,12.3,10.2,8.2,3.1,1.4,14.5,18.9,1.2,1.6,2.7,0.103,-0.7,0.8,0.1,0.7
241,2005-06,24,BOS,NBA,PG,51,978,12.9,0.554,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,0.6,1.0,1.7,0.082,-2.3,0.9,-1.4,0.1
243,2007-08,26,BOS,NBA,SG,75,1373,10.7,0.527,0.147,0.465,3.1,11.0,7.3,13.1,2.4,1.3,18.9,19.6,-0.1,2.8,2.7,0.093,-3.4,1.7,-1.7,0.1
244,2008-09,27,BOS,NBA,SG,46,887,12.9,0.541,0.095,0.384,3.2,10.7,7.1,12.0,3.2,2.1,18.8,21.5,-0.2,1.8,1.6,0.085,-2.4,2.5,0.1,0.5
245,2009-10,28,BOS,NBA,SG,54,889,14.2,0.54,0.02,0.47,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,0.2,1.6,1.9,0.1,-1.8,2.2,0.4,0.5
246,2010-11,29,MEM,NBA,SG,72,1494,18.4,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,4.7,0.152,0.1,3.5,3.6,2.1
247,2011-12,30,MEM,NBA,SG,58,1525,15.7,0.541,0.058,0.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,1.7,2.5,4.2,0.131,-0.6,2.3,1.7,1.4
248,2012-13,31,MEM,NBA,SG,79,2109,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,1.0,4.1,5.1,0.115,-2.0,2.4,0.4,1.2
249,2013-14,32,MEM,NBA,SG,55,1278,15.6,0.531,0.114,0.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,0.5,2.1,2.7,0.1,-1.1,2.1,1.0,1.0
250,2014-15,33,MEM,NBA,SG,63,1648,14.6,0.528,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,0.9,3.2,4.1,0.119,-1.5,3.1,1.6,1.5
251,2015-16,34,MEM,NBA,SG,64,1620,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,0.072,-2.2,1.2,-1.0,0.4
252,2016-17,35,MEM,NBA,SG,71,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-2.0,1.1,-1.0,0.5
260,2001-02,25,MIL,NBA,PG,50,600,13.9,0.434,0.372,0.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,0.3,0.5,0.7,0.059,-0.3,-0.3,-0.7,0.2
261,2002-03,26,TOR,NBA,PG,47,980,14.4,0.51,0.388,0.161,2.3,10.4,6.2,34.0,2.1,1.1,19.3,20.7,0.7,0.5,1.2,0.059,0.2,-1.0,-0.8,0.3
262,2003-04,27,MIA,NBA,PG,82,2581,13.7,0.509,0.568,0.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,3.1,2.8,5.9,0.11,0.2,0.7,0.9,1.9
263,2004-05,28,TOR,NBA,PG,80,2717,16.5,0.522,0.399,0.265,1.7,10.1,5.8,31.7,2.2,0.2,13.5,21.2,3.8,1.7,5.5,0.098,1.4,-0.5,0.9,2.0
264,2005-06,29,HOU,NBA,PG,63,2431,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,0.2,3.1,3.4,0.067,-1.0,0.6,-0.4,1.0
265,2006-07,30,HOU,NBA,PG,82,3040,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,1.7,4.9,6.6,0.104,-0.7,1.3,0.6,2.0
266,2007-08,31,HOU,NBA,PG,74,2526,13.2,0.492,0.44,0.148,1.3,10.2,5.8,25.2,2.1,0.5,14.0,20.7,1.0,4.0,5.0,0.095,-0.5,1.0,0.5,1.6
267,2008-09,32,TOT,NBA,PG,77,2447,13.8,0.494,0.404,0.254,1.6,8.8,5.3,27.0,2.3,0.3,13.3,19.9,1.7,3.7,5.3,0.104,-0.3,1.1,0.8,1.8
268,2008-09,32,HOU,NBA,PG,48,1591,12.8,0.484,0.441,0.209,1.9,8.4,5.3,25.9,1.9,0.3,13.4,19.2,0.9,2.1,2.9,0.088,-0.3,0.4,0.2,0.9
270,2009-10,33,TOT,NBA,PG,52,1421,8.2,0.443,0.377,0.182,1.0,9.7,5.3,20.2,1.9,0.5,16.5,18.8,-1.6,1.2,-0.4,-0.013,-3.3,-0.5,-3.8,-0.6
273,2021-22,23,NOP,NBA,PG,54,834,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,1.0,1.1,2.1,0.121,-0.5,2.4,1.9,0.8
276,1999-00,29,ORL,NBA,C,80,1684,13.2,0.505,0.009,0.416,4.0,13.2,8.6,9.1,1.0,1.5,14.4,24.1,0.6,1.8,2.4,0.067,-1.8,-0.8,-2.5,-0.2
277,2000-01,30,ORL,NBA,C,82,1710,8.7,0.455,0.012,0.471,4.9,12.7,8.7,7.0,0.8,1.2,14.8,21.7,-1.3,1.4,0.0,0.001,-4.3,-1.8,-6.1,-1.7
278,2001-02,31,UTA,NBA,PF,54,586,5.4,0.412,0.0,0.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,-1.0,0.3,-0.7,-0.056,-5.4,-2.8,-8.2,-0.9
279,2002-03,32,UTA,NBA,C,50,474,3.1,0.351,0.0,0.441,6.9,12.5,9.8,6.8,1.6,1.1,19.4,17.0,-1.1,0.4,-0.7,-0.07,-6.4,-1.6,-8.0,-0.7
280,2010-11,20,LAC,NBA,SF,81,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3
281,2011-12,21,NOH,NBA,SF,66,1477,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,0.044,-2.9,0.7,-2.2,-0.1
282,2012-13,22,NOH,NBA,SF,76,2066,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1.0
283,2013-14,23,NOP,NBA,SF,80,2045,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-0.9,0.3,-0.6,0.7
284,2014-15,24,DAL,NBA,SF,74,1366,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2.0,3.3,0.115,-0.7,1.5,0.7,1.0
285,2015-16,25,POR,NBA,SF,82,2341,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.082,-0.2,0.2,0.1,1.2
286,2016-17,26,POR,NBA,PF,61,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,0.051,-1.4,0.4,-1.1,0.4
287,2017-18,27,POR,NBA,PF,69,2072,12.0,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3
288,2018-19,28,POR,NBA,PF,81,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.121,0.1,0.6,0.7,1.5
297,2008-09,26,PHO,NBA,PF,76,1044,13.3,0.53,0.004,0.48,14.9,15.3,15.1,3.7,1.5,4.6,15.6,15.1,0.8,1.0,1.8,0.082,-2.2,-0.3,-2.5,-0.1
298,2009-10,27,PHO,NBA,PF,79,1168,14.4,0.562,0.004,0.446,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,1.5,1.3,2.9,0.118,-1.5,0.4,-1.1,0.3
299,2010-11,28,GSW,NBA,PF,46,691,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0.2,0.5,0.6,0.044,-3.1,-1.4,-4.5,-0.4
300,2011-12,29,IND,NBA,PF,60,753,11.5,0.438,0.0,0.396,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,-0.3,1.3,1.0,0.062,-4.0,0.1,-4.0,-0.4
308,2014-15,32,TOT,NBA,PF,53,937,11.8,0.442,0.004,0.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,-0.6,0.9,0.3,0.017,-4.1,-0.2,-4.3,-0.5
310,2014-15,32,NYK,NBA,PF,41,858,12.5,0.444,0.004,0.337,11.6,22.0,16.7,12.6,1.3,5.0,17.0,18.0,-0.5,0.8,0.4,0.02,-3.8,-0.1,-3.9,-0.4
313,2002-03,24,DEN,NBA,C,59,907,14.0,0.44,0.004,0.491,13.3,22.3,17.6,6.3,1.7,5.3,14.8,19.9,-0.5,1.7,1.1,0.059,-2.4,0.4,-2.0,0.0
314,2003-04,25,DEN,NBA,PF,71,1029,14.4,0.486,0.005,0.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,0.5,1.9,2.4,0.111,-2.2,2.7,0.4,0.6
315,2004-05,26,NOH,NBA,C,67,1430,18.5,0.581,0.008,0.531,10.9,23.6,17.0,9.1,0.5,5.6,12.7,16.4,2.7,1.8,4.5,0.152,0.5,1.1,1.6,1.3
318,2008-09,30,DEN,NBA,C,71,1460,18.1,0.608,0.034,0.62,13.4,21.6,17.6,3.2,1.4,9.3,15.7,13.4,2.5,2.8,5.4,0.176,-0.3,2.4,2.2,1.5
319,2009-10,31,DEN,NBA,PF,76,1695,15.8,0.631,0.012,0.94,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,3.2,2.7,5.9,0.166,-0.1,1.9,1.8,1.6
320,2010-11,32,DEN,NBA,C,45,732,19.0,0.636,0.007,0.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,1.9,1.2,3.2,0.207,1.2,1.8,3.0,0.9
322,2012-13,34,MIA,NBA,C,42,624,17.4,0.631,0.024,0.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-1.0,0.8,-0.2,0.3
323,2013-14,35,MIA,NBA,C,72,1396,18.5,0.683,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,3.8,2.2,6.0,0.205,0.6,0.7,1.2,1.1
324,2014-15,36,MIA,NBA,C,60,1132,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,2.1,1.5,3.6,0.151,0.0,1.0,1.1,0.9
329,2009-10,29,HOU,NBA,C,63,891,12.1,0.497,0.229,0.197,6.7,20.6,13.4,8.1,0.9,1.0,9.1,20.2,0.4,0.9,1.3,0.07,-2.0,-0.6,-2.6,-0.1
330,2010-11,30,TOT,NBA,PF,40,373,10.9,0.513,0.19,0.182,6.4,21.0,13.6,5.6,0.7,2.0,14.4,19.1,-0.1,0.3,0.3,0.032,-2.8,-0.7,-3.4,-0.1
336,2012-13,30,TOR,NBA,SF,65,1495,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,-0.5,-1.3,-1.8,0.1
337,2013-14,31,BRK,NBA,SF,78,1773,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-1.8,-1.0,-2.8,-0.4
338,2014-15,32,BRK,NBA,SG,74,1744,10.6,0.563,0.477,0.23,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,1.7,1.1,2.7,0.075,-1.7,0.2,-1.5,0.2
342,1997-98,23,CLE,NBA,SF,66,1839,15.3,0.531,0.143,0.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,2.6,2.8,5.3,0.139,0.3,1.4,1.7,1.7
344,1999-00,25,LAC,NBA,SG,64,2201,16.9,0.542,0.207,0.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,3.1,0.3,3.3,0.073,1.2,-1.2,-0.1,1.1
345,2000-01,26,SAS,NBA,SG,82,2859,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,1.2,1.2,2.4,3.2
346,2001-02,27,POR,NBA,SG,70,1860,15.5,0.538,0.373,0.34,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,3.8,1.5,5.3,0.137,1.4,0.2,1.6,1.7
347,2002-03,28,POR,NBA,PG,76,2556,16.9,0.556,0.398,0.323,2.5,10.0,6.2,20.7,1.9,0.5,11.9,19.5,5.9,2.2,8.1,0.153,2.2,0.1,2.3,2.8
348,2003-04,29,POR,NBA,SG,51,1810,15.1,0.499,0.423,0.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,0.097,0.8,-0.5,0.3,1.0
349,2004-05,30,POR,NBA,SG,47,1239,11.7,0.503,0.386,0.223,2.4,9.2,6.0,18.9,1.6,0.2,14.0,18.5,0.7,0.6,1.3,0.052,-0.6,-0.6,-1.2,0.2
350,2005-06,31,TOT,NBA,SG,43,1047,10.8,0.496,0.442,0.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,0.5,1.1,1.6,0.074,-1.3,0.1,-1.2,0.2
353,2006-07,32,CHA,NBA,SF,50,1190,13.7,0.586,0.517,0.361,2.8,8.6,5.6,17.6,2.3,0.5,14.1,15.1,2.0,0.9,2.9,0.117,-0.3,0.6,0.4,0.7
356,2011-12,22,SAS,NBA,SG,51,603,8.8,0.483,0.391,0.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,0.1,0.4,0.5,0.04,-2.7,-1.4,-4.1,-0.3
360,2013-14,24,PHI,NBA,SG,80,2309,10.9,0.53,0.49,0.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,0.9,0.9,1.9,0.039,-1.5,-1.0,-2.6,-0.3
361,2015-16,26,SAC,NBA,SG,51,721,6.0,0.469,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.6,-4.5,-0.5
362,2015-16,22,DAL,NBA,SF,55,647,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,0.3,0.8,1.1,0.083,-1.1,1.4,0.3,0.4
363,2016-17,23,TOT,NBA,SF,75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.074,-0.9,-0.4,-1.3,0.2
364,2016-17,23,DAL,NBA,SF,51,710,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2.0,11.2,23.6,0.1,0.9,1.0,0.067,-1.0,0.0,-1.0,0.2
367,2018-19,25,ATL,NBA,SF,48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1
372,1991-92,21,NJN,NBA,PG,64,1086,12.8,0.43,0.027,0.204,3.6,9.0,6.2,26.5,3.0,0.5,15.6,22.9,-0.6,1.1,0.5,0.022,-1.7,-0.1,-1.8,0.1
373,1992-93,22,NJN,NBA,PG,55,2010,16.6,0.487,0.029,0.273,2.8,9.5,6.1,34.7,2.4,0.3,13.8,23.1,1.9,2.5,4.4,0.106,1.1,0.5,1.6,1.8
374,1993-94,23,NJN,NBA,PG,82,3135,18.2,0.491,0.096,0.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,4.3,3.2,7.5,0.114,2.5,-0.1,2.4,3.4
375,1994-95,24,NJN,NBA,PG,72,2689,18.0,0.522,0.285,0.402,3.0,7.2,5.1,43.1,2.0,0.4,15.6,23.5,4.8,2.0,6.8,0.122,3.0,-0.7,2.2,2.8
376,1995-96,25,TOT,NBA,PG,69,2344,19.5,0.534,0.307,0.405,3.0,7.1,5.0,40.4,2.5,0.5,12.9,21.4,6.1,1.6,7.7,0.158,4.1,0.2,4.3,3.7
379,1996-97,26,POR,NBA,PG,82,3081,19.5,0.54,0.322,0.383,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,8.0,4.4,12.4,0.193,3.2,1.2,4.4,5.0
380,1997-98,27,TOT,NBA,PG,61,1858,14.8,0.491,0.237,0.288,2.5,8.4,5.4,31.4,2.5,0.0,15.8,21.8,1.7,2.0,3.7,0.096,0.3,0.0,0.3,1.1
381,1997-98,27,POR,NBA,PG,45,1472,13.3,0.48,0.252,0.275,3.0,7.5,5.3,28.3,2.2,0.0,16.2,21.7,0.8,1.6,2.3,0.076,-0.2,0.0,-0.2,0.7
384,1999-00,29,BOS,NBA,PG,82,2593,17.4,0.524,0.223,0.257,2.3,7.9,4.9,26.7,2.7,0.2,10.6,20.5,5.4,1.9,7.3,0.136,1.7,0.1,1.8,2.5
386,2001-02,31,BOS,NBA,PG,76,2430,13.6,0.472,0.046,0.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,1.7,3.5,5.2,0.103,-2.3,1.9,-0.4,1.0
387,2002-03,32,TOT,NBA,PG,61,1135,13.6,0.457,0.018,0.149,3.2,10.6,6.8,29.8,2.8,0.3,15.6,19.7,0.4,1.3,1.6,0.069,-1.9,0.9,-1.0,0.3
390,2003-04,33,IND,NBA,PG,44,905,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,0.4,1.1,1.5,0.079,-2.3,0.6,-1.7,0.1
391,2004-05,34,TOT,NBA,PG,43,743,10.1,0.467,0.065,0.184,3.6,10.5,6.9,22.2,2.3,0.0,18.4,16.1,-0.1,0.3,0.2,0.011,-3.6,-0.4,-3.9,-0.4
395,2015-16,22,SAS,NBA,SF,78,1245,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,0.7,2.8,3.5,0.133,-1.7,3.1,1.4,1.1
396,2016-17,23,SAS,NBA,SF,72,1020,12.5,0.525,0.191,0.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,0.127,-1.4,3.2,1.8,1.0
397,2017-18,24,SAS,NBA,SF,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4
398,2018-19,25,MEM,NBA,SF,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11.0,15.0,2.1,2.7,16.0,12.6,0.8,1.8,2.7,0.1,-1.6,2.4,0.8,0.9
399,2019-20,26,MEM,NBA,SF,67,1330,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9
400,2020-21,27,MEM,NBA,PF,69,1887,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5
401,2021-22,28,MEM,NBA,PF,69,1484,14.4,0.506,0.232,0.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,1.0,2.5,3.5,0.113,-0.9,2.1,1.2,1.2
403,1989-90,22,ORL,NBA,SG,81,1785,14.9,0.536,0.023,0.351,6.1,12.7,9.3,10.5,1.8,1.0,13.7,22.1,1.2,0.7,1.8,0.049,0.0,-1.0,-1.0,0.5
404,1990-91,23,ORL,NBA,SG,70,1971,15.1,0.51,0.068,0.302,4.9,16.7,10.7,8.5,1.8,1.3,10.4,22.4,1.2,1.9,3.1,0.075,0.0,0.3,0.3,1.1
405,1991-92,24,ORL,NBA,SG,60,2203,16.4,0.509,0.082,0.291,4.8,14.9,9.7,12.4,2.2,0.9,9.7,24.5,1.6,2.0,3.6,0.078,1.1,0.0,1.2,1.8
406,1992-93,25,ORL,NBA,SG,79,2920,17.3,0.524,0.188,0.304,5.0,13.0,9.2,14.7,2.2,1.2,9.9,24.5,4.0,3.7,7.7,0.126,2.0,0.8,2.8,3.5
407,1993-94,26,ORL,NBA,SG,81,2811,16.9,0.549,0.298,0.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,4.6,3.0,7.6,0.129,2.0,0.6,2.5,3.2
408,1994-95,27,ORL,NBA,SG,76,2588,17.5,0.593,0.467,0.22,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,5.7,2.6,8.3,0.154,3.4,0.7,4.0,3.9
409,1995-96,28,ORL,NBA,SG,77,2717,16.5,0.562,0.476,0.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,4.2,3.3,7.4,0.131,2.3,0.6,2.9,3.4
410,1996-97,29,ORL,NBA,SG,63,2163,13.8,0.494,0.559,0.13,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,1.3,2.9,4.2,0.093,0.2,1.6,1.8,2.1
